NUMERO,PREGUNTA
1,"Ante los problemas, se enfoca en encontrar soluciones más que en justificar el problema."
2,Mantiene una actitud constructiva incluso cuando las cosas no salen como se esperaba.
3,"En lugar de esperar que otros resuelvan los problemas, asume un rol activo."
4,"Analiza los errores como oportunidades de aprendizaje, no como fracasos personales."
5,Se adapta con rapidez a los cambios o dificultades del entorno laboral.
6,Evita caer en excusas y busca alternativas viables cuando surgen barreras.
7,Inspira al equipo a mantener el foco y la energía positiva en tiempos difíciles.
8,"Frente a emergencias operativas, es de las primeras personas en movilizarse para apoyar en la solución."
9,Se prepara anticipadamente para saber cómo actuar en posibles escenarios críticos dentro de su área de trabajo.
10,"En situaciones críticas busca no solo resolver, sino también aprender de la experiencia para prevenir futuras crisis."
